year,month,title,start,end
2032,June,"Deva Snana Purnima, Jyeshta Purnima","Jun 22, 7:41 pm","Jun 23, 5:02 pm"
2032,July,Guru Purnima,"Jul 22, 3:55 am","Jul 23, 12:21 am"
2032,August,"Narali Purnima, Jandhyala Purnima, Sravana Purnima","Aug 20, 11:12 am","Aug 21, 7:16 am"
2032,September,Bhadrapada Purnima,"Sep 18, 6:43 pm","Sep 19, 3:00 pm"
2032,October,Sharad Purnima,"Oct 18, 3:26 am","Oct 19, 12:28 am"
2032,November,Kartik Purnima,"Nov 16, 2:03 pm","Nov 17, 12:12 pm"
2032,December,Margashirsha Purnima,"Dec 16, 2:49 am","Dec 17, 2:19 am"

2033,January,Paush Purnima,"Jan 14, 5:44 pm","Jan 15, 6:37 pm"
2033,February,Magha Purnima,"Feb 13, 10:32 am","Feb 14, 12:34 pm"
2033,March,Hutasani Purnima,"Mar 15, 4:31 am","Mar 16, 7:07 am"
2033,April,,"Apr 13, 10:26 pm","Apr 15, 12:47 am"
2033,May,"Buddha Purnima, Vaishakha Purnima","May 13, 2:52 pm","May 14, 4:12 pm"
2033,June,"Deva Snana Purnima, Jyeshta Purnima","Jun 12, 4:54 am","Jun 13, 4:49 am"
2033,July,Guru Purnima,"Jul 11, 4:29 pm","Jul 12, 2:58 pm"
2033,August,"Narali Purnima, Jandhyala Purnima, Sravana Purnima","Aug 10, 2:18 am","Aug 10, 11:37 pm"
2033,September,Bhadrapada Purnima,"Sep 08, 11:16 am","Sep 09, 7:50 am"
2033,October,Sharad Purnima,"Oct 07, 8:13 pm","Oct 08, 4:28 pm"
2033,November,Kartik Purnima,"Nov 06, 5:39 am","Nov 07, 2:02 am"
2033,December,Margashirsha Purnima,"Dec 05, 3:52 pm","Dec 06, 12:52 pm"

2034,January,Paush Purnima,"Jan 04, 3:10 am","Jan 05, 1:17 am"
2034,February,Magha Purnima,"Feb 02, 3:58 pm","Feb 03, 3:34 pm"
2034,March,Hutasani Purnima,"Mar 04, 6:33 am","Mar 05, 7:40 am"
2034,April,,"Apr 02, 10:36 pm","Apr 04, 12:48 am"
2034,May,"Buddha Purnima, Vaishakha Purnima","May 02, 3:13 pm","May 03, 5:45 pm"
2034,June,"Deva Snana Purnima, Jyeshta Purnima","Jun 01, 7:17 am","Jun 02, 9:24 am"
2034,June,,"Jun 30, 10:05 pm","Jul 01, 11:14 pm"
2034,July,Guru Purnima,"Jul 30, 11:28 am","Jul 31, 11:24 am"
2034,August,"Narali Purnima, Jandhyala Purnima, Sravana Purnima","Aug 28, 11:40 pm","Aug 29, 10:19 pm"
2034,September,Bhadrapada Purnima,"Sep 27, 10:59 am","Sep 28, 8:26 am"
2034,October,Sharad Purnima,"Oct 26, 9:41 pm","Oct 27, 6:12 pm"
2034,November,Kartik Purnima,"Nov 25, 7:57 am","Nov 26, 4:02 am"
2034,December,Margashirsha Purnima,"Dec 24, 6:08 pm","Dec 25, 2:24 pm"

2035,January,Paush Purnima,"Jan 23, 4:40 am","Jan 24, 1:46 am"
2035,February,Magha Purnima,"Feb 21, 4:00 pm","Feb 22, 2:23 pm"
2035,March,Hutasani Purnima,"Mar 23, 4:22 am","Mar 24, 4:12 am"
2035,April,,"Apr 21, 5:44 pm","Apr 22, 6:50 pm"
2035,May,"Buddha Purnima, Vaishakha Purnima","May 21, 7:56 am","May 22, 9:55 am"
2035,June,"Deva Snana Purnima, Jyeshta Purnima","Jun 19, 10:45 pm","Jun 21, 1:07 am"
2035,July,Guru Purnima,"Jul 19, 1:56 pm","Jul 20, 4:06 pm"
2035,August,"Narali Purnima, Jandhyala Purnima, Sravana Purnima","Aug 18, 5:09 am","Aug 19, 6:30 am"
2035,September,Bhadrapada Purnima,"Sep 16, 7:51 pm","Sep 17, 7:53 pm"
2035,October,Sharad Purnima,"Oct 16, 9:33 am","Oct 17, 8:05 am"
2035,November,Kartik Purnima,"Nov 14, 10:06 pm","Nov 15, 7:18 pm"
2035,December,Margashirsha Purnima,"Dec 14, 9:40 am","Dec 15, 6:03 am"

2036,January,Paush Purnima,"Jan 12, 8:36 pm","Jan 13, 4:46 pm"
2036,February,Magha Purnima,"Feb 11, 7:08 am","Feb 12, 3:38 am"
2036,March,Hutasani Purnima,"Mar 11, 5:22 pm","Mar 12, 2:39 pm"
2036,April,,"Apr 10, 3:30 am","Apr 11, 1:52 am"
2036,May,"Buddha Purnima, Vaishakha Purnima","May 09, 1:59 pm","May 10, 1:39 pm"
2036,June,"Deva Snana Purnima, Jyeshta Purnima","Jun 08, 1:32 am","Jun 09, 2:32 am"
2036,July,Guru Purnima,"Jul 07, 2:44 pm","Jul 08, 4:49 pm"
2036,August,"Narali Purnima, Jandhyala Purnima, Sravana Purnima","Aug 06, 5:44 am","Aug 07, 8:18 am"
2036,September,Bhadrapada Purnima,"Sep 04, 10:00 pm","Sep 06, 12:15 am"
2036,October,Sharad Purnima,"Oct 04, 2:31 pm","Oct 05, 3:45 pm"
2036,November,Kartik Purnima,"Nov 03, 6:26 am","Nov 04, 6:14 am"
2036,December,Margashirsha Purnima,"Dec 02, 9:14 pm","Dec 03, 7:38 pm"

2037,January,Paush Purnima,"Jan 01, 10:50 am","Jan 02, 8:05 am"
2037,January,Magha Purnima,"Jan 30, 11:04 pm","Jan 31, 7:34 pm"
2037,March,Hutasani Purnima,"Mar 01, 9:46 am","Mar 02, 5:58 am"
2037,March,,"Mar 30, 6:59 pm","Mar 31, 3:23 pm"
2037,April,"Buddha Purnima, Vaishakha Purnima","Apr 29, 3:15 am","Apr 30, 12:23 am"
2037,May,,"May 28, 11:33 am","May 29, 9:54 am"
2037,June,"Deva Snana Purnima, Jyeshta Purnima","Jun 26, 9:02 pm","Jun 27, 8:49 pm"
2037,July,Guru Purnima,"Jul 26, 8:33 am","Jul 27, 9:45 am"
2037,August,"Narali Purnima, Jandhyala Purnima, Sravana Purnima","Aug 24, 10:30 pm","Aug 26, 12:39 am"
2037,September,Bhadrapada Purnima,"Sep 23, 2:33 pm","Sep 24, 5:01 pm"
2037,October,Sharad Purnima,"Oct 23, 7:59 am","Oct 24, 10:06 am"
2037,November,Kartik Purnima,"Nov 22, 1:54 am","Nov 23, 3:05 am"
2037,December,Margashirsha Purnima,"Dec 21, 7:16 pm","Dec 22, 7:08 pm"

2038,January,,"Jan 20, 11:05 am","Jan 21, 9:29 am"
2038,February,,"Feb 19, 12:32 am","Feb 19, 9:39 pm"
2038,March,,"Mar 20, 11:23 am","Mar 21, 7:39 am"
2038,April,,"Apr 18, 8:03 pm","Apr 19, 4:06 pm"
2038,May,,"May 18, 3:28 am","May 18, 11:53 pm"
2038,June,,"Jun 16, 10:42 am","Jun 17, 8:00 am"
2038,July,,"Jul 15, 6:47 pm","Jul 16, 5:18 pm"
2038,August,,"Aug 14, 4:37 am","Aug 15, 4:26 am"
