year,month,paksha,title,start,end

2029,July,Krishna Paksha,,"2029-07-08 20:31","2029-07-09 21:23"
2029,July,Shukla Paksha,,"2029-07-22 22:29","2029-07-23 21:00"

2029,August,Krishna Paksha,,"2029-08-07 10:48","2029-08-08 10:20"
2029,August,Shukla Paksha,,"2029-08-21 06:53","2029-08-22 06:39"

2029,September,Krishna Paksha,,"2029-09-05 23:31","2029-09-06 21:41"
2029,September,Shukla Paksha,,"2029-09-19 17:59","2029-09-20 18:57"

2029,October,Krishna Paksha,,"2029-10-05 10:46","2029-10-06 07:51"
2029,October,Shukla Paksha,,"2029-10-19 08:18","2029-10-20 10:18"

2029,November,Krishna Paksha,Dhanatrayodashi,"2029-11-03 20:58","2029-11-04 17:30"
2029,November,Shukla Paksha,,"2029-11-18 01:54","2029-11-19 04:27"

2029,December,Krishna Paksha,,"2029-12-03 06:41","2029-12-04 03:16"
2029,December,Shukla Paksha,,"2029-12-17 21:55","2029-12-19 00:21"

2030,January,Krishna Paksha,,"2030-01-01 16:24","2030-01-02 13:34"
2030,January,Shukla Paksha,,"2030-01-16 18:33","2030-01-17 20:05"
2030,January,Krishna Paksha,,"2030-01-31 02:26","2030-02-01 00:34"

2030,February,Shukla Paksha,,"2030-02-15 13:38","2030-02-16 13:43"

2030,March,Krishna Paksha,,"2030-03-01 13:05","2030-03-02 12:23"
2030,March,Shukla Paksha,,"2030-03-17 05:36","2030-03-18 04:09"
2030,March,Krishna Paksha,Madhu Krishna Trayodashi,"2030-03-31 00:42","2030-04-01 01:14"

2030,April,Shukla Paksha,,"2030-04-15 18:04","2030-04-16 15:26"
2030,April,Krishna Paksha,,"2030-04-29 13:42","2030-04-30 15:22"

2030,May,Shukla Paksha,,"2030-05-15 03:32","2030-05-16 00:14"
2030,May,Krishna Paksha,,"2030-05-29 04:15","2030-05-30 06:41"

2030,June,Shukla Paksha,,"2030-06-13 10:56","2030-06-14 07:28"
2030,June,Krishna Paksha,,"2030-06-27 20:03","2030-06-28 22:37"

2030,July,Shukla Paksha,,"2030-07-12 17:13","2030-07-13 14:01"
2030,July,Krishna Paksha,,"2030-07-27 12:22","2030-07-28 14:18"

2030,August,Shukla Paksha,,"2030-08-10 23:24","2030-08-11 20:49"
2030,August,Krishna Paksha,,"2030-08-26 04:17","2030-08-27 05:01"

2030,September,Shukla Paksha,,"2030-09-09 06:32","2030-09-10 04:57"
2030,September,Krishna Paksha,,"2030-09-24 19:15","2030-09-25 18:35"

2030,October,Shukla Paksha,,"2030-10-08 15:50","2030-10-09 15:32"
2030,October,Krishna Paksha,Dhanatrayodashi,"2030-10-24 09:06","2030-10-25 07:10"

2030,November,Shukla Paksha,,"2030-11-07 04:23","2030-11-08 05:29"
2030,November,Krishna Paksha,,"2030-11-22 21:55","2030-11-23 19:05"

2030,December,Shukla Paksha,,"2030-12-06 20:40","2030-12-07 22:57"
2030,December,Krishna Paksha,,"2030-12-22 09:41","2030-12-23 06:23"

2031,January,Shukla Paksha,,"2031-01-05 16:02","2031-01-06 18:47"
2031,January,Krishna Paksha,,"2031-01-20 20:16","2031-01-21 16:55"

2031,February,Shukla Paksha,,"2031-02-04 12:35","2031-02-05 14:54"
2031,February,Krishna Paksha,,"2031-02-19 05:38","2031-02-20 02:44"

2031,March,Shukla Paksha,,"2031-03-06 08:06","2031-03-07 09:18"
2031,March,Krishna Paksha,Madhu Krishna Trayodashi,"2031-03-20 14:20","2031-03-21 12:20"

2031,April,Shukla Paksha,,"2031-04-05 01:07","2031-04-06 00:57"
2031,April,Krishna Paksha,,"2031-04-18 23:16","2031-04-19 22:32"

2031,May,Shukla Paksha,,"2031-05-04 15:08","2031-05-05 13:42"
2031,May,Krishna Paksha,,"2031-05-18 09:29","2031-05-19 10:08"

2031,June,Shukla Paksha,,"2031-06-03 02:21","2031-06-03 23:51"
2031,June,Krishna Paksha,,"2031-06-16 21:36","2031-06-17 23:25"

2031,July,Shukla Paksha,,"2031-07-02 11:12","2031-07-03 07:59"
2031,July,Krishna Paksha,,"2031-07-16 11:45","2031-07-17 14:12"
2031,July,Shukla Paksha,,"2031-07-31 18:23","2031-08-01 14:50"

2031,August,Krishna Paksha,,"2031-08-15 03:30","2031-08-16 05:56"
2031,August,Shukla Paksha,,"2031-08-30 00:48","2031-08-30 21:26"

2031,September,Krishna Paksha,,"2031-09-13 20:15","2031-09-14 22:02"
2031,September,Shukla Paksha,,"2031-09-28 07:37","2031-09-29 04:58"

2031,October,Krishna Paksha,,"2031-10-13 13:22","2031-10-14 14:05"
2031,October,Shukla Paksha,,"2031-10-27 16:06","2031-10-28 14:40"

2031,November,Krishna Paksha,Dhanatrayodashi,"2031-11-12 06:10","2031-11-13 05:36"
2031,November,Shukla Paksha,,"2031-11-26 03:21","2031-11-27 03:24"

2031,December,Krishna Paksha,,"2031-12-11 21:53","2031-12-12 20:01"
2031,December,Shukla Paksha,,"2031-12-25 17:50","2031-12-26 19:15"

2032,January,Krishna Paksha,,"2032-01-10 11:41","2032-01-11 08:46"
